,"China National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","Korean Emissions Trading System",,,,," ","New Zealand Emissions Trading System (Up to 2023)",,,,,,,," ","New Zealand Emissions Trading System (From 2024)",,,,,,,," "
Date,"Exchange rate CNY/EUR","Exchange rate CNY/USD","Market Currency","Secondary Market"," ","Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," ","Exchange rate KRW/EUR","Exchange rate KRW/USD","Market Currency","Primary Market","Secondary Market"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market","Secondary Stability 5"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Secondary Market"," "
2023-03-17,0.135434628,0.144993958,CNY,56.75," ",,,,," ",0.000715363,0.000765855,KRW,,14400," ",0.579484362,0.62038588,NZD,,,,66,," ",,,,,,,,," "
2023-03-20,0.135434628,0.144993958,CNY,57," ",,,,," ",0.000715363,0.000765855,KRW,,14450," ",0.579484362,0.62038588,NZD,,,,65.75,," ",,,,,,,,," "
2023-03-21,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,13700," ",0.579484362,0.62038588,NZD,,,,65,," ",,,,,,,,," "
2023-03-22,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,12500," ",0.579484362,0.62038588,NZD,,,,65,," ",,,,,,,,," "
2023-03-23,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,12600," ",0.579484362,0.62038588,NZD,,,,64.45,," ",,,,,,,,," "
2023-03-24,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,13300," ",0.579484362,0.62038588,NZD,,,,63.1,," ",,,,,,,,," "
2023-03-27,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,13400," ",0.579484362,0.62038588,NZD,,,,61.5,," ",,,,,,,,," "
2023-03-28,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,13650," ",0.579484362,0.62038588,NZD,,,,60.5,," ",,,,,,,,," "
2023-03-29,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,13850," ",0.579484362,0.62038588,NZD,,,,60,," ",,,,,,,,," "
2023-03-30,0.135434628,0.144993958,CNY,56.7," ",,,,," ",0.000715363,0.000765855,KRW,,13900," ",0.579484362,0.62038588,NZD,,,,54,," ",,,,,,,,," "
2023-03-31,0.135434628,0.144993958,CNY,56," ",,,,," ",0.000715363,0.000765855,KRW,,14650," ",0.579484362,0.62038588,NZD,,,,54.5,," ",,,,,,,,," "
2023-04-03,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,13950," ",0.566490429,0.621310966,NZD,,,,58,," ",,,,,,,,," "
2023-04-04,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,13500," ",0.566490429,0.621310966,NZD,,,,59,," ",,,,,,,,," "
2023-04-06,0.132359235,0.145167933,CNY,50.52," ",,,,," ",0.000690727,0.00075757,KRW,,13600," ",0.566490429,0.621310966,NZD,,,,59.25,," ",,,,,,,,," "
2023-04-07,0.132359235,0.145167933,CNY,55.4," ",,,,," ",0.000690727,0.00075757,KRW,,13650," ",0.566490429,0.621310966,NZD,,,,59.25,," ",,,,,,,,," "
2023-04-10,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,13600," ",0.566490429,0.621310966,NZD,,,,59.25,," ",,,,,,,,," "
2023-04-11,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,13450," ",0.566490429,0.621310966,NZD,,,,59.25,," ",,,,,,,,," "
2023-04-12,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,13200,13300," ",0.566490429,0.621310966,NZD,,,,59,," ",,,,,,,,," "
2023-04-13,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,12800," ",0.566490429,0.621310966,NZD,,,,62.5,," ",,,,,,,,," "
2023-04-14,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,12900," ",0.566490429,0.621310966,NZD,,,,62.75,," ",,,,,,,,," "
2023-04-17,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,13000," ",0.566490429,0.621310966,NZD,,,,61.75,," ",,,,,,,,," "
2023-04-18,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,12900," ",0.566490429,0.621310966,NZD,,,,61.35,," ",,,,,,,,," "
2023-04-19,0.132359235,0.145167933,CNY,56," ",,,,," ",0.000690727,0.00075757,KRW,,13000," ",0.566490429,0.621310966,NZD,,,,61.35,," ",,,,,,,,," "
2023-04-20,0.132359235,0.145167933,CNY,53.4," ",,,,," ",0.000690727,0.00075757,KRW,,12900," ",0.566490429,0.621310966,NZD,,,,60.5,," ",,,,,,,,," "
2023-04-21,0.132359235,0.145167933,CNY,53.4," ",,,,," ",0.000690727,0.00075757,KRW,,13000," ",0.566490429,0.621310966,NZD,,,,61.15,," ",,,,,,,,," "
2023-04-24,0.132359235,0.145167933,CNY,53.4," ",,,,," ",0.000690727,0.00075757,KRW,,12950," ",0.566490429,0.621310966,NZD,,,,60.57,," ",,,,,,,,," "
2023-04-25,0.132359235,0.145167933,CNY,53.4," ",,,,," ",0.000690727,0.00075757,KRW,,12700," ",0.566490429,0.621310966,NZD,,,,60.82,," ",,,,,,,,," "
2023-04-26,0.132359235,0.145167933,CNY,54.92," ",,,,," ",0.000690727,0.00075757,KRW,,12450," ",0.566490429,0.621310966,NZD,,,,61,," ",,,,,,,,," "
2023-04-27,0.132359235,0.145167933,CNY,55," ",,,,," ",0.000690727,0.00075757,KRW,,11250," ",0.566490429,0.621310966,NZD,,,,58.5,," ",,,,,,,,," "
2023-04-28,0.132359235,0.145167933,CNY,55," ",,,,," ",0.000690727,0.00075757,KRW,,11250," ",0.566490429,0.621310966,NZD,,,,56,," ",,,,,,,,," "
2023-05-04,0.131557706,0.142970337,CNY,55.5," ",,,,," ",0.000692793,0.000752893,KRW,,11700," ",0.572070148,0.621697233,NZD,,,,54.75,," ",,,,,,,,," "
2023-05-05,0.131557706,0.142970337,CNY,55.5," ",,,,," ",,,,,," ",0.572070148,0.621697233,NZD,,,,54.5,," ",,,,,,,,," "
2023-05-08,0.131557706,0.142970337,CNY,56," ",,,,," ",0.000692793,0.000752893,KRW,,12400," ",0.572070148,0.621697233,NZD,,,,54,," ",,,,,,,,," "
2023-05-09,0.131557706,0.142970337,CNY,56," ",,,,," ",0.000692793,0.000752893,KRW,,12450," ",0.572070148,0.621697233,NZD,,,,54,," ",,,,,,,,," "
2023-05-10,0.131557706,0.142970337,CNY,56," ",,,,," ",0.000692793,0.000752893,KRW,,12600," ",0.572070148,0.621697233,NZD,,,,54,," ",,,,,,,,," "
2023-05-11,0.131557706,0.142970337,CNY,56," ",,,,," ",0.000692793,0.000752893,KRW,,12400," ",0.572070148,0.621697233,NZD,,,,52,," ",,,,,,,,," "
2023-05-12,0.131557706,0.142970337,CNY,56," ",,,,," ",0.000692793,0.000752893,KRW,,13000," ",0.572070148,0.621697233,NZD,,,,52.5,," ",,,,,,,,," "
2023-05-15,0.131557706,0.142970337,CNY,56," ",,,,," ",0.000692793,0.000752893,KRW,,12800," ",0.572070148,0.621697233,NZD,,,,52.25,," ",,,,,,,,," "
2023-05-16,0.131557706,0.142970337,CNY,56.5," ",,,,," ",0.000692793,0.000752893,KRW,,12700," ",0.572070148,0.621697233,NZD,,,,51.95,," ",,,,,,,,," "
2023-05-17,0.131557706,0.142970337,CNY,56.25," ",,,,," ",0.000692793,0.000752893,KRW,,12400," ",0.572070148,0.621697233,NZD,,,,51.5,," ",,,,,,,,," "
2023-05-18,0.131557706,0.142970337,CNY,57.93," ",,,,," ",0.000692793,0.000752893,KRW,,12400," ",0.572070148,0.621697233,NZD,,,,51.5,," ",,,,,,,,," "
2023-05-19,0.131557706,0.142970337,CNY,57," ",,,,," ",0.000692793,0.000752893,KRW,,12300," ",0.572070148,0.621697233,NZD,,,,54,," ",,,,,,,,," "
2023-05-22,0.131557706,0.142970337,CNY,57.21," ",,,,," ",0.000692793,0.000752893,KRW,,12000," ",0.572070148,0.621697233,NZD,,,,54,," ",,,,,,,,," "
2023-05-23,0.131557706,0.142970337,CNY,56," ",,,,," ",0.000692793,0.000752893,KRW,,11750," ",0.572070148,0.621697233,NZD,,,,54,," ",,,,,,,,," "
2023-05-24,0.131557706,0.142970337,CNY,57," ",,,,," ",0.000692793,0.000752893,KRW,,11500," ",0.572070148,0.621697233,NZD,,,,53.75,," ",,,,,,,,," "
2023-05-25,0.131557706,0.142970337,CNY,57," ",,,,," ",0.000692793,0.000752893,KRW,,11200," ",0.572070148,0.621697233,NZD,,,,54,," ",,,,,,,,," "
2023-05-26,0.131557706,0.142970337,CNY,57," ",,,,," ",0.000692793,0.000752893,KRW,,11350," ",0.572070148,0.621697233,NZD,,,,55,," ",,,,,,,,," "
2023-05-29,0.131557706,0.142970337,CNY,57," ",,,,," ",,,,,," ",0.572070148,0.621697233,NZD,,,,55.25,," ",,,,,,,,," "
2023-05-30,0.131557706,0.142970337,CNY,57," ",,,,," ",0.000692793,0.000752893,KRW,,11500," ",0.572070148,0.621697233,NZD,,,,54.5,," ",,,,,,,,," "
2023-05-31,0.131557706,0.142970337,CNY,58.5," ",,,,," ",0.000692793,0.000752893,KRW,,11900," ",0.572070148,0.621697233,NZD,,,,54.7,," ",,,,,,,,," "
2023-06-01,0.128799193,0.139616569,CNY,57.51," ",,,,," ",0.000711432,0.000771182,KRW,,11900," ",0.565686062,0.613195977,NZD,,,,55,," ",,,,,,,,," "
2023-06-02,0.128799193,0.139616569,CNY,58.5," ",,,,," ",0.000711432,0.000771182,KRW,,12000," ",0.565686062,0.613195977,NZD,,,,55.75,," ",,,,,,,,," "
2023-06-05,0.128799193,0.139616569,CNY,58.5," ",,,,," ",0.000711432,0.000771182,KRW,,12000," ",0.565686062,0.613195977,NZD,,,,55.75,," ",,,,,,,,," "
2023-06-06,0.128799193,0.139616569,CNY,58.5," ",,,,," ",,,,,," ",0.565686062,0.613195977,NZD,,,,55.75,," ",,,,,,,,," "
2023-06-07,0.128799193,0.139616569,CNY,58.5," ",,,,," ",0.000711432,0.000771182,KRW,,11950," ",0.565686062,0.613195977,NZD,,,,56.5,," ",,,,,,,,," "
2023-06-08,0.128799193,0.139616569,CNY,58.6," ",,,,," ",0.000711432,0.000771182,KRW,,11900," ",0.565686062,0.613195977,NZD,,,,56.3,," ",,,,,,,,," "
2023-06-09,0.128799193,0.139616569,CNY,58.5," ",,,,," ",0.000711432,0.000771182,KRW,,11850," ",0.565686062,0.613195977,NZD,,,,56,," ",,,,,,,,," "
2023-06-10,0.128799193,0.139616569,CNY,58.5," ",,,,," ",,,,,," ",,,,,,,,," ",,,,,,,,," "
2023-06-12,0.128799193,0.139616569,CNY,57," ",,,,," ",0.000711432,0.000771182,KRW,,11750," ",0.565686062,0.613195977,NZD,,,,55,," ",,,,,,,,," "
2023-06-13,0.128799193,0.139616569,CNY,57," ",,,,," ",0.000711432,0.000771182,KRW,,11800," ",0.565686062,0.613195977,NZD,,,,57.25,," ",,,,,,,,," "
2023-06-14,0.128799193,0.139616569,CNY,57," ",,,,," ",0.000711432,0.000771182,KRW,,11800," ",0.565686062,0.613195977,NZD,,33.06,80.64,60.5,," ",,,,,,,,," "
2023-06-15,0.128799193,0.139616569,CNY,57," ",,,,," ",0.000711432,0.000771182,KRW,,11700," ",0.565686062,0.613195977,NZD,,,,60,," ",,,,,,,,," "
2023-06-16,0.128799193,0.139616569,CNY,57.8," ",,,,," ",0.000711432,0.000771182,KRW,,11700," ",0.565686062,0.613195977,NZD,,,,60,," ",,,,,,,,," "
2023-06-17,0.128799193,0.139616569,CNY,57.8," ",,,,," ",,,,,," ",,,,,,,,," ",,,,,,,,," "
2023-06-19,0.128799193,0.139616569,CNY,57.8," ",,,,," ",0.000711432,0.000771182,KRW,,11550," ",0.565686062,0.613195977,NZD,,,,59.25,," ",,,,,,,,," "
2023-06-20,0.128799193,0.139616569,CNY,57.53," ",,,,," ",0.000711432,0.000771182,KRW,,11250," ",0.565686062,0.613195977,NZD,,,,53.25,," ",,,,,,,,," "
2023-06-21,0.128799193,0.139616569,CNY,57," ",,,,," ",0.000711432,0.000771182,KRW,,11000," ",0.565686062,0.613195977,NZD,,,,51.25,," ",,,,,,,,," "
2023-06-26,0.128799193,0.139616569,CNY,57.4," ",,,,," ",0.000711432,0.000771182,KRW,,10600," ",0.565686062,0.613195977,NZD,,,,41,," ",,,,,,,,," "
2023-06-27,0.128799193,0.139616569,CNY,57.4," ",,,,," ",0.000711432,0.000771182,KRW,,10200," ",0.565686062,0.613195977,NZD,,,,42.5,," ",,,,,,,,," "
2023-06-28,0.128799193,0.139616569,CNY,57.5," ",,,,," ",0.000711432,0.000771182,KRW,,10950," ",0.565686062,0.613195977,NZD,,,,41,," ",,,,,,,,," "
2023-06-29,0.128799193,0.139616569,CNY,57.98," ",,,,," ",0.000711432,0.000771182,KRW,,10750," ",0.565686062,0.613195977,NZD,,,,41,," ",,,,,,,,," "
2023-06-30,0.128799193,0.139616569,CNY,60," ",,,,," ",0.000711432,0.000771182,KRW,,10300," ",0.565686062,0.613195977,NZD,,,,41.75,," ",,,,,,,,," "
2023-07-03,0.125855887,0.139173238,CNY,60," ",,,,," ",0.000703033,0.000777424,KRW,,10000," ",0.562662382,0.6222001,NZD,,,,41.75,," ",,,,,,,,," "
2023-07-04,0.125855887,0.139173238,CNY,60," ",,,,," ",0.000703033,0.000777424,KRW,,10000," ",0.562662382,0.6222001,NZD,,,,37,," ",,,,,,,,," "
2023-07-05,0.125855887,0.139173238,CNY,60," ",,,,," ",0.000703033,0.000777424,KRW,,10000," ",0.562662382,0.6222001,NZD,,,,37.75,," ",,,,,,,,," "
2023-07-06,0.125855887,0.139173238,CNY,59," ",,,,," ",0.000703033,0.000777424,KRW,,10000," ",0.562662382,0.6222001,NZD,,,,38,," ",,,,,,,,," "
2023-07-07,0.125855887,0.139173238,CNY,58.17," ",,,,," ",0.000703033,0.000777424,KRW,,10000," ",0.562662382,0.6222001,NZD,,,,39.5,," ",,,,,,,,," "
2023-07-10,0.125855887,0.139173238,CNY,59," ",,,,," ",0.000703033,0.000777424,KRW,,10500," ",0.562662382,0.6222001,NZD,,,,39,," ",,,,,,,,," "
2023-07-11,0.125855887,0.139173238,CNY,60," ",,,,," ",0.000703033,0.000777424,KRW,,10500," ",0.562662382,0.6222001,NZD,,,,38.25,," ",,,,,,,,," "
2023-07-12,0.125855887,0.139173238,CNY,59.75," ",,,,," ",0.000703033,0.000777424,KRW,10350,10500," ",0.562662382,0.6222001,NZD,,,,39.25,," ",,,,,,,,," "
2023-07-13,0.125855887,0.139173238,CNY,60," ",,,,," ",0.000703033,0.000777424,KRW,,10550," ",0.562662382,0.6222001,NZD,,,,38,," ",,,,,,,,," "
2023-07-14,0.125855887,0.139173238,CNY,60," ",,,,," ",0.000703033,0.000777424,KRW,,10550," ",0.562662382,0.6222001,NZD,,,,38,," ",,,,,,,,," "
2023-07-15,0.125855887,0.139173238,CNY,60," ",,,,," ",,,,,," ",,,,,,,,," ",,,,,,,,," "
2023-07-16,0.125855887,0.139173238,CNY,60," ",,,,," ",,,,,," ",,,,,,,,," ",,,,,,,,," "
2023-07-17,0.125855887,0.139173238,CNY,60," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,49.95,," ",,,,,,,,," "
2023-07-18,0.125855887,0.139173238,CNY,61.02," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,50,," ",,,,,,,,," "
2023-07-19,0.125855887,0.139173238,CNY,61," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,49.75,," ",,,,,,,,," "
2023-07-20,0.125855887,0.139173238,CNY,61," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,48,," ",,,,,,,,," "
2023-07-21,0.125855887,0.139173238,CNY,63.43," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,47.25,," ",,,,,,,,," "
2023-07-24,0.125855887,0.139173238,CNY,64," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,45,," ",,,,,,,,," "
2023-07-25,0.125855887,0.139173238,CNY,64," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,51.25,," ",,,,,,,,," "
2023-07-26,0.125855887,0.139173238,CNY,61.12," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,65.25,," ",,,,,,,,," "
2023-07-27,0.125855887,0.139173238,CNY,64," ",,,,," ",0.000703033,0.000777424,KRW,,10600," ",0.562662382,0.6222001,NZD,,,,61.5,," ",,,,,,,,," "
2023-07-28,0.125855887,0.139173238,CNY,61.05," ",,,,," ",0.000703033,0.000777424,KRW,,10800," ",0.562662382,0.6222001,NZD,,,,60,," ",,,,,,,,," "
2023-07-31,0.125855887,0.139173238,CNY,64.74," ",,,,," ",0.000703033,0.000777424,KRW,,10800," ",0.562662382,0.6222001,NZD,,,,59.75,," ",,,,,,,,," "
2023-08-01,0.126389095,0.137876215,CNY,64.99," ",,,,," ",0.000695264,0.000758455,KRW,,10800," ",0.550099176,0.600096015,NZD,,,,57.5,," ",,,,,,,,," "
2023-08-02,0.126389095,0.137876215,CNY,64.97," ",,,,," ",0.000695264,0.000758455,KRW,,10600," ",0.550099176,0.600096015,NZD,,,,57,," ",,,,,,,,," "
2023-08-03,0.126389095,0.137876215,CNY,64.27," ",,,,," ",0.000695264,0.000758455,KRW,,10600," ",0.550099176,0.600096015,NZD,,,,58,," ",,,,,,,,," "
2023-08-04,0.126389095,0.137876215,CNY,66," ",,,,," ",0.000695264,0.000758455,KRW,,10600," ",0.550099176,0.600096015,NZD,,,,58,," ",,,,,,,,," "
2023-08-07,0.126389095,0.137876215,CNY,66," ",,,,," ",0.000695264,0.000758455,KRW,,9740," ",0.550099176,0.600096015,NZD,,,,59.9,," ",,,,,,,,," "
2023-08-08,0.126389095,0.137876215,CNY,67," ",,,,," ",0.000695264,0.000758455,KRW,,9000," ",0.550099176,0.600096015,NZD,,,,60.25,," ",,,,,,,,," "
2023-08-09,0.126389095,0.137876215,CNY,67.93," ",,,,," ",0.000695264,0.000758455,KRW,8100,8100," ",0.550099176,0.600096015,NZD,,,,60.75,," ",,,,,,,,," "
2023-08-10,0.126389095,0.137876215,CNY,69.52," ",,,,," ",0.000695264,0.000758455,KRW,,7700," ",0.550099176,0.600096015,NZD,,,,59.95,," ",,,,,,,,," "
2023-08-11,0.126389095,0.137876215,CNY,69.9," ",,,,," ",0.000695264,0.000758455,KRW,,7750," ",0.550099176,0.600096015,NZD,,,,60.2,," ",,,,,,,,," "
2023-08-14,0.126389095,0.137876215,CNY,68.33," ",,,,," ",0.000695264,0.000758455,KRW,,8000," ",0.550099176,0.600096015,NZD,,,,60.5,," ",,,,,,,,," "
2023-08-15,0.126389095,0.137876215,CNY,70.07," ",,,,," ",,,,,," ",0.550099176,0.600096015,NZD,,,,61.25,," ",,,,,,,,," "
2023-08-16,0.126389095,0.137876215,CNY,70," ",,,,," ",0.000695264,0.000758455,KRW,,8000," ",0.550099176,0.600096015,NZD,,,,61.4,," ",,,,,,,,," "
2023-08-17,0.126389095,0.137876215,CNY,70.1," ",,,,," ",0.000695264,0.000758455,KRW,,7700," ",0.550099176,0.600096015,NZD,,,,62.5,," ",,,,,,,,," "
2023-08-18,0.126389095,0.137876215,CNY,72.85," ",,,,," ",0.000695264,0.000758455,KRW,,7700," ",0.550099176,0.600096015,NZD,,,,65,," ",,,,,,,,," "
2023-08-21,0.126389095,0.137876215,CNY,67.5," ",,,,," ",0.000695264,0.000758455,KRW,,7500," ",0.550099176,0.600096015,NZD,,,,65.5,," ",,,,,,,,," "
2023-08-22,0.126389095,0.137876215,CNY,72.73," ",,,,," ",0.000695264,0.000758455,KRW,,7500," ",0.550099176,0.600096015,NZD,,,,65.5,," ",,,,,,,,," "
2023-08-23,0.126389095,0.137876215,CNY,74.76," ",,,,," ",0.000695264,0.000758455,KRW,,7390," ",0.550099176,0.600096015,NZD,,,,66.25,," ",,,,,,,,," "
2023-08-24,0.126389095,0.137876215,CNY,72.3," ",,,,," ",0.000695264,0.000758455,KRW,,7350," ",0.550099176,0.600096015,NZD,,,,66.75,," ",,,,,,,,," "
2023-08-25,0.126389095,0.137876215,CNY,73.06," ",,,,," ",0.000695264,0.000758455,KRW,,7250," ",0.550099176,0.600096015,NZD,,,,67,," ",,,,,,,,," "
2023-08-28,0.126389095,0.137876215,CNY,74.46," ",,,,," ",0.000695264,0.000758455,KRW,,7200," ",0.550099176,0.600096015,NZD,,,,67,," ",,,,,,,,," "
2023-08-29,0.126389095,0.137876215,CNY,69.18," ",,,,," ",0.000695264,0.000758455,KRW,,7230," ",0.550099176,0.600096015,NZD,,,,67.5,," ",,,,,,,,," "
2023-08-30,0.126389095,0.137876215,CNY,69.04," ",,,,," ",0.000695264,0.000758455,KRW,,7640," ",0.550099176,0.600096015,NZD,,,,68.5,," ",,,,,,,,," "
2023-08-31,0.126389095,0.137876215,CNY,68.79," ",,,,," ",0.000695264,0.000758455,KRW,,7750," ",0.550099176,0.600096015,NZD,,,,70.5,," ",,,,,,,,," "
2023-09-01,0.128231998,0.137000624,CNY,68.43," ",,,,," ",0.000704037,0.000752179,KRW,,7750," ",0.554565542,0.592487262,NZD,,,,71,," ",,,,,,,,," "
2023-09-04,0.128231998,0.137000624,CNY,68.41," ",,,,," ",0.000704037,0.000752179,KRW,,7700," ",0.554565542,0.592487262,NZD,,,,70.85,," ",,,,,,,,," "
2023-09-05,0.128231998,0.137000624,CNY,66.21," ",,,,," ",0.000704037,0.000752179,KRW,,7640," ",0.554565542,0.592487262,NZD,,,,70.25,," ",,,,,,,,," "
2023-09-06,0.128231998,0.137000624,CNY,69.93," ",,,,," ",0.000704037,0.000752179,KRW,,7770," ",0.554565542,0.592487262,NZD,,33.06,80.64,71.1,," ",,,,,,,,," "
2023-09-07,0.128231998,0.137000624,CNY,71.27," ",,,,," ",0.000704037,0.000752179,KRW,,7990," ",0.554565542,0.592487262,NZD,,,,71.75,," ",,,,,,,,," "
2023-09-08,0.128231998,0.137000624,CNY,72.22," ",,,,," ",0.000704037,0.000752179,KRW,,8000," ",0.554565542,0.592487262,NZD,,,,73,," ",,,,,,,,," "
2023-09-11,0.128231998,0.137000624,CNY,72.75," ",,,,," ",0.000704037,0.000752179,KRW,,8150," ",0.554565542,0.592487262,NZD,,,,73,," ",,,,,,,,," "
2023-09-12,0.128231998,0.137000624,CNY,72.33," ",,,,," ",0.000704037,0.000752179,KRW,,8300," ",0.554565542,0.592487262,NZD,,,,72.6,," ",,,,,,,,," "
2023-09-13,0.128231998,0.137000624,CNY,72.81," ",,,,," ",0.000704037,0.000752179,KRW,8100,9100," ",0.554565542,0.592487262,NZD,,,,72.5,," ",,,,,,,,," "
2023-09-14,0.128231998,0.137000624,CNY,74.01," ",,,,," ",0.000704037,0.000752179,KRW,,10000," ",0.554565542,0.592487262,NZD,,,,71.75,," ",,,,,,,,," "
2023-09-15,0.128231998,0.137000624,CNY,74.76," ",,,,," ",0.000704037,0.000752179,KRW,,11000," ",0.554565542,0.592487262,NZD,,,,69.75,," ",,,,,,,,," "
2023-09-18,0.128231998,0.137000624,CNY,74.6," ",,,,," ",0.000704037,0.000752179,KRW,,12100," ",0.554565542,0.592487262,NZD,,,,68,," ",,,,,,,,," "
2023-09-19,0.128231998,0.137000624,CNY,75.13," ",,,,," ",0.000704037,0.000752179,KRW,,13300," ",0.554565542,0.592487262,NZD,,,,66,," ",,,,,,,,," "
2023-09-20,0.128231998,0.137000624,CNY,74.64," ",,,,," ",0.000704037,0.000752179,KRW,,14600," ",0.554565542,0.592487262,NZD,,,,66.5,," ",,,,,,,,," "
2023-09-21,0.128231998,0.137000624,CNY,75.06," ",,,,," ",0.000704037,0.000752179,KRW,,13900," ",0.554565542,0.592487262,NZD,,,,65.6,," ",,,,,,,,," "
2023-09-22,0.128231998,0.137000624,CNY,75.34," ",,,,," ",0.000704037,0.000752179,KRW,,12900," ",0.554565542,0.592487262,NZD,,,,65.6,," ",,,,,,,,," "
2023-09-25,0.128231998,0.137000624,CNY,74.88," ",,,,," ",0.000704037,0.000752179,KRW,,12800," ",0.554565542,0.592487262,NZD,,,,64,," ",,,,,,,,," "
2023-09-26,0.128231998,0.137000624,CNY,76.06," ",,,,," ",0.000704037,0.000752179,KRW,,12850," ",0.554565542,0.592487262,NZD,,,,64,," ",,,,,,,,," "
2023-09-27,0.128231998,0.137000624,CNY,76.13," ",,,,," ",0.000704037,0.000752179,KRW,,12900," ",0.554565542,0.592487262,NZD,,,,64.25,," ",,,,,,,,," "
2023-09-28,0.128231998,0.137000624,CNY,76.03," ",,,,," ",,,,,," ",0.554565542,0.592487262,NZD,,,,65.75,," ",,,,,,,,," "
2023-10-09,0.129486408,0.136770607,CNY,76.78," ",,,,," ",,,,,," ",,,,,,,,," ",,,,,,,,," "
2023-10-10,0.129486408,0.136770607,CNY,78.99," ",,,,," ",0.000700932,0.000740362,KRW,,11600," ",,,,,,,,," ",,,,,,,,," "
2023-10-11,0.129486408,0.136770607,CNY,79.99," ",,,,," ",0.000700932,0.000740362,KRW,10500,10850," ",,,,,,,,," ",,,,,,,,," "
2023-10-12,0.129486408,0.136770607,CNY,80.7," ",,,,," ",0.000700932,0.000740362,KRW,,11000," ",,,,,,,,," ",,,,,,,,," "
2023-10-13,0.129486408,0.136770607,CNY,80.16," ",,,,," ",0.000700932,0.000740362,KRW,,11950," ",,,,,,,,," ",,,,,,,,," "
2023-10-16,0.129486408,0.136770607,CNY,81.15," ",,,,," ",0.000700932,0.000740362,KRW,,11800," ",,,,,,,,," ",,,,,,,,," "
2023-10-17,0.129486408,0.136770607,CNY,80.98," ",,,,," ",0.000700932,0.000740362,KRW,,11700," ",,,,,,,,," ",,,,,,,,," "
2023-10-18,0.129486408,0.136770607,CNY,81.12," ",,,,," ",0.000700932,0.000740362,KRW,,12000," ",,,,,,,,," ",,,,,,,,," "
2023-10-19,0.129486408,0.136770607,CNY,81.1," ",,,,," ",0.000700932,0.000740362,KRW,,12000," ",,,,,,,,," ",,,,,,,,," "
2023-10-20,0.129486408,0.136770607,CNY,81.08," ",,,,," ",0.000700932,0.000740362,KRW,,11800," ",,,,,,,,," ",,,,,,,,," "
2023-10-23,0.129486408,0.136770607,CNY,81.42," ",,,,," ",0.000700932,0.000740362,KRW,,11800," ",,,,,,,,," ",,,,,,,,," "
2023-10-24,0.129486408,0.136770607,CNY,81.08," ",,,,," ",0.000700932,0.000740362,KRW,,11600," ",,,,,,,,," ",,,,,,,,," "
2023-10-25,0.129486408,0.136770607,CNY,81.27," ",,,,," ",0.000700932,0.000740362,KRW,,11400," ",,,,,,,,," ",,,,,,,,," "
2023-10-26,0.129486408,0.136770607,CNY,80.55," ",,,,," ",0.000700932,0.000740362,KRW,,11300," ",,,,,,,,," ",,,,,,,,," "
2023-10-27,0.129486408,0.136770607,CNY,78.5," ",,,,," ",0.000700932,0.000740362,KRW,,11300," ",,,,,,,,," ",,,,,,,,," "
