,"China National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","Korean Emissions Trading System",,,,," ","New Zealand Emissions Trading System (Up to 2023)",,,,,,,," ","New Zealand Emissions Trading System (From 2024)",,,,,,,," "
Date,"Exchange rate CNY/EUR","Exchange rate CNY/USD","Market Currency","Secondary Market"," ","Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," ","Exchange rate KRW/EUR","Exchange rate KRW/USD","Market Currency","Primary Market","Secondary Market"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market","Secondary Stability 5"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Secondary Market"," "
2021-08-27,0.131171982,0.154413272,CNY,45.09," ",,,,," ",0.000732101,0.000861816,KRW,,28200," ",0.592100402,0.697009828,NZD,,,,51.1,," ",,,,,,,,," "
2021-08-30,0.131171982,0.154413272,CNY,45.16," ",,,,," ",0.000732101,0.000861816,KRW,,28400," ",0.592100402,0.697009828,NZD,,,,51.4,," ",,,,,,,,," "
2021-08-31,0.131171982,0.154413272,CNY,45.35," ",,,,," ",0.000732101,0.000861816,KRW,,28000," ",0.592100402,0.697009828,NZD,,,,51.5,," ",,,,,,,,," "
2021-09-01,0.131593736,0.154890014,CNY,45.19," ",,,,," ",0.000726435,0.000855037,KRW,,27700," ",0.599657471,0.705815923,NZD,53.85,20,50,59,," ",,,,,,,,," "
2021-09-02,0.131593736,0.154890014,CNY,44.66," ",,,,," ",0.000726435,0.000855037,KRW,,28000," ",0.599657471,0.705815923,NZD,,,,59.5,," ",,,,,,,,," "
2021-09-03,0.131593736,0.154890014,CNY,44.67," ",,,,," ",0.000726435,0.000855037,KRW,,28000," ",0.599657471,0.705815923,NZD,,,,60.1,," ",,,,,,,,," "
2021-09-06,0.131593736,0.154890014,CNY,44," ",,,,," ",0.000726435,0.000855037,KRW,,28000," ",0.599657471,0.705815923,NZD,,,,60.6,," ",,,,,,,,," "
2021-09-07,0.131593736,0.154890014,CNY,43.9," ",,,,," ",0.000726435,0.000855037,KRW,,28500," ",0.599657471,0.705815923,NZD,,,,62,," ",,,,,,,,," "
2021-09-08,0.131593736,0.154890014,CNY,42.9," ",,,,," ",0.000726435,0.000855037,KRW,27400,29000," ",0.599657471,0.705815923,NZD,,,,65.25,," ",,,,,,,,," "
2021-09-09,0.131593736,0.154890014,CNY,41.99," ",,,,," ",0.000726435,0.000855037,KRW,,30000," ",0.599657471,0.705815923,NZD,,,,65.8,," ",,,,,,,,," "
2021-09-10,0.131593736,0.154890014,CNY,44," ",,,,," ",0.000726435,0.000855037,KRW,,28500," ",0.599657471,0.705815923,NZD,,,,65,," ",,,,,,,,," "
2021-09-13,0.131593736,0.154890014,CNY,45.62," ",,,,," ",0.000726435,0.000855037,KRW,,28200," ",0.599657471,0.705815923,NZD,,,,61.5,," ",,,,,,,,," "
2021-09-14,0.131593736,0.154890014,CNY,45.54," ",,,,," ",0.000726435,0.000855037,KRW,,28200," ",0.599657471,0.705815923,NZD,,,,63.5,," ",,,,,,,,," "
2021-09-15,0.131593736,0.154890014,CNY,45," ",,,,," ",0.000726435,0.000855037,KRW,,28500," ",0.599657471,0.705815923,NZD,,,,64,," ",,,,,,,,," "
2021-09-16,0.131593736,0.154890014,CNY,44.94," ",,,,," ",0.000726435,0.000855037,KRW,,28500," ",0.599657471,0.705815923,NZD,,,,64,," ",,,,,,,,," "
2021-09-17,0.131593736,0.154890014,CNY,43.43," ",,,,," ",0.000726435,0.000855037,KRW,,28400," ",0.599657471,0.705815923,NZD,,,,64,," ",,,,,,,,," "
2021-09-22,0.131593736,0.154890014,CNY,43.24," ",,,,," ",,,,,," ",0.599657471,0.705815923,NZD,,,,64.5,," ",,,,,,,,," "
2021-09-23,0.131593736,0.154890014,CNY,43.85," ",,,,," ",0.000726435,0.000855037,KRW,,29000," ",0.599657471,0.705815923,NZD,,,,64.5,," ",,,,,,,,," "
2021-09-24,0.131593736,0.154890014,CNY,44.36," ",,,,," ",0.000726435,0.000855037,KRW,,29200," ",0.599657471,0.705815923,NZD,,,,64.5,," ",,,,,,,,," "
2021-09-27,0.131593736,0.154890014,CNY,43.59," ",,,,," ",0.000726435,0.000855037,KRW,,29100," ",0.599657471,0.705815923,NZD,,,,64.4,," ",,,,,,,,," "
2021-09-28,0.131593736,0.154890014,CNY,42.22," ",,,,," ",0.000726435,0.000855037,KRW,,29750," ",0.599657471,0.705815923,NZD,,,,63.6,," ",,,,,,,,," "
2021-09-29,0.131593736,0.154890014,CNY,41.84," ",,,,," ",0.000726435,0.000855037,KRW,,29750," ",0.599657471,0.705815923,NZD,,,,64,," ",,,,,,,,," "
2021-09-30,0.131593736,0.154890014,CNY,42.21," ",,,,," ",0.000726435,0.000855037,KRW,,30500," ",0.599657471,0.705815923,NZD,,,,64.5,," ",,,,,,,,," "
2021-10-08,0.134442641,0.15597331,CNY,44.08," ",,,,," ",0.000728732,0.000845437,KRW,,30100," ",0.606799912,0.703977473,NZD,,,,64.6,," ",,,,,,,,," "
2021-10-11,0.134442641,0.15597331,CNY,46.03," ",,,,," ",,,,,," ",0.606799912,0.703977473,NZD,,,,64.5,," ",,,,,,,,," "
2021-10-12,0.134442641,0.15597331,CNY,44.67," ",,,,," ",0.000728732,0.000845437,KRW,,30100," ",0.606799912,0.703977473,NZD,,,,64.5,," ",,,,,,,,," "
2021-10-13,0.134442641,0.15597331,CNY,44.68," ",,,,," ",0.000728732,0.000845437,KRW,29300,29600," ",0.606799912,0.703977473,NZD,,,,64.85,," ",,,,,,,,," "
2021-10-14,0.134442641,0.15597331,CNY,43.96," ",,,,," ",0.000728732,0.000845437,KRW,,30100," ",0.606799912,0.703977473,NZD,,,,64.8,," ",,,,,,,,," "
2021-10-15,0.134442641,0.15597331,CNY,43.9," ",,,,," ",0.000728732,0.000845437,KRW,,30200," ",0.606799912,0.703977473,NZD,,,,64.8,," ",,,,,,,,," "
2021-10-18,0.134442641,0.15597331,CNY,43.44," ",,,,," ",0.000728732,0.000845437,KRW,,30400," ",0.606799912,0.703977473,NZD,,,,64.75,," ",,,,,,,,," "
2021-10-19,0.134442641,0.15597331,CNY,43.43," ",,,,," ",0.000728732,0.000845437,KRW,,30650," ",0.606799912,0.703977473,NZD,,,,65,," ",,,,,,,,," "
2021-10-20,0.134442641,0.15597331,CNY,43.24," ",,,,," ",0.000728732,0.000845437,KRW,,30600," ",0.606799912,0.703977473,NZD,,,,64.5,," ",,,,,,,,," "
2021-10-21,0.134442641,0.15597331,CNY,43.03," ",,,,," ",0.000728732,0.000845437,KRW,,30900," ",0.606799912,0.703977473,NZD,,,,65,," ",,,,,,,,," "
2021-10-22,0.134442641,0.15597331,CNY,42.99," ",,,,," ",0.000728732,0.000845437,KRW,,30450," ",0.606799912,0.703977473,NZD,,,,65,," ",,,,,,,,," "
2021-10-25,0.134442641,0.15597331,CNY,43.24," ",,,,," ",0.000728732,0.000845437,KRW,,30100," ",,,,,,,,," ",,,,,,,,," "
2021-10-26,0.134442641,0.15597331,CNY,42.65," ",,,,," ",0.000728732,0.000845437,KRW,,30300," ",0.606799912,0.703977473,NZD,,,,65.1,," ",,,,,,,,," "
2021-10-27,0.134442641,0.15597331,CNY,42.61," ",,,,," ",0.000728732,0.000845437,KRW,,30200," ",0.606799912,0.703977473,NZD,,,,65.1,," ",,,,,,,,," "
2021-10-28,0.134442641,0.15597331,CNY,42.77," ",,,,," ",0.000728732,0.000845437,KRW,,29950," ",0.606799912,0.703977473,NZD,,,,65.25,," ",,,,,,,,," "
2021-10-29,0.134442641,0.15597331,CNY,42.41," ",,,,," ",0.000728732,0.000845437,KRW,,30400," ",0.606799912,0.703977473,NZD,,,,65,," ",,,,,,,,," "
2021-11-01,0.137105471,0.156492808,CNY,42.45," ",,,,," ",0.000740643,0.000845373,KRW,,30600," ",0.615550875,0.702592567,NZD,,,,65.25,," ",,,,,,,,," "
